NANDO:1200376	MONDO:0006802
NANDO:2200323	MONDO:0006802
NANDO:1200388	MONDO:0006823
NANDO:2200386	MONDO:0006823
NANDO:1200720	MONDO:0006835
NANDO:2200112	MONDO:0006835
NANDO:2200304	MONDO:0006936
NANDO:2200141	MONDO:0006947
NANDO:2200277	MONDO:0006987
NANDO:1200194	MONDO:0007012
NANDO:1201003	MONDO:0007275
NANDO:1200867	MONDO:0009726
NANDO:2200048	MONDO:0009807
NANDO:1200430	MONDO:0011705
NANDO:2200264	MONDO:0011827
NANDO:2200809	MONDO:0012268
NANDO:2200855	MONDO:0015358
NANDO:1200496	MONDO:0016110
NANDO:1200510	MONDO:0016227
NANDO:1200028	MONDO:0016430
NANDO:2200767	MONDO:0016463
NANDO:2200467	MONDO:0016543
NANDO:1200629	MONDO:0017015
NANDO:2200031	MONDO:0017025
NANDO:2200031	MONDO:0017029
NANDO:1200610	MONDO:0017266
NANDO:2200987	MONDO:0017266
NANDO:1200681	MONDO:0017393
NANDO:2200982	MONDO:0017393
NANDO:1200824	MONDO:0017693
NANDO:1200454	MONDO:0018438
NANDO:2200807	MONDO:0018438
NANDO:1200426	MONDO:0018554
NANDO:1200192	MONDO:0018686
NANDO:1200019	MONDO:0018778
NANDO:1200183	MONDO:0018792
NANDO:2200850	MONDO:0018792
NANDO:2200067	MONDO:0018843
NANDO:1201001	MONDO:0019172
NANDO:1200802	MONDO:0019217
NANDO:2200619	MONDO:0020135
NANDO:1200889	MONDO:0020338
NANDO:2200613	MONDO:0020338
NANDO:2200902	MONDO:0020640
NANDO:1200367	MONDO:0020642
NANDO:2200152	MONDO:0020642
NANDO:1200225	MONDO:0021061
NANDO:1200226	MONDO:0021061
NANDO:1200227	MONDO:0021061
NANDO:2201003	MONDO:0021061
NANDO:2200236	MONDO:0021209
NANDO:2200262	MONDO:0021902
NANDO:1200438	MONDO:0021969
NANDO:2200938	MONDO:0021969
NANDO:1200240	MONDO:0022205
NANDO:2201001	MONDO:0022205
NANDO:1200011	MONDO:0022308
NANDO:1200683	MONDO:0022762
NANDO:2200860	MONDO:0023204
NANDO:2200322	MONDO:0023209
NANDO:1200841	MONDO:0023258
NANDO:2200471	MONDO:0023419
NANDO:1200781	MONDO:0024299
NANDO:2200401	MONDO:0024299
NANDO:1200779	MONDO:0024300
NANDO:2200322	MONDO:0024305
NANDO:2200682	MONDO:0024574
NANDO:2200398	MONDO:0024677
NANDO:2200306	MONDO:0042981
NANDO:1200275	MONDO:0043317
NANDO:2200351	MONDO:0043472
NANDO:1200346	MONDO:0045045
NANDO:1200595	MONDO:0100025
NANDO:2200588	MONDO:0000721
NANDO:2200681	MONDO:0002241
NANDO:1200438	MONDO:0037251
NANDO:2200938	MONDO:0037251
NANDO:1200811	MONDO:0037939
NANDO:2200610	MONDO:0037939
NANDO:1200884	MONDO:0007864
NANDO:2200418	MONDO:0008054
NANDO:2200419	MONDO:0008054
NANDO:1200219	MONDO:0008117
NANDO:1200901	MONDO:0008283
NANDO:1200708	MONDO:0008343
NANDO:2200252	MONDO:0008343
NANDO:1200751	MONDO:0008346
NANDO:2200207	MONDO:0008346
NANDO:2200409	MONDO:0008487
NANDO:1200558	MONDO:0008503
NANDO:1200266	MONDO:0008889
NANDO:1200151	MONDO:0008956
NANDO:1200305	MONDO:0020108
NANDO:2200620	MONDO:0020108
NANDO:2200821	MONDO:0009072
NANDO:2200235	MONDO:0009169
NANDO:2200927	MONDO:0009275
NANDO:1200718	MONDO:0009303
NANDO:2200125	MONDO:0009303
NANDO:2200973	MONDO:0009318
NANDO:2200140	MONDO:0009366
NANDO:1200171	MONDO:0009410
NANDO:1200411	MONDO:0009410
NANDO:1200412	MONDO:0009410
NANDO:2200359	MONDO:0009410
NANDO:2200360	MONDO:0009410
NANDO:1200424	MONDO:0009537
NANDO:1200020	MONDO:0009688
NANDO:2200906	MONDO:0009688
NANDO:1200752	MONDO:0009763
NANDO:1200909	MONDO:0009774
NANDO:1200869	MONDO:0009813
NANDO:2200438	MONDO:0009813
NANDO:1200195	MONDO:0009835
NANDO:2200899	MONDO:0009835
NANDO:1200422	MONDO:0009887
NANDO:1200423	MONDO:0009887
NANDO:2200347	MONDO:0010012
NANDO:1200279	MONDO:0010030
NANDO:2200420	MONDO:0010030
NANDO:2200963	MONDO:0010336
NANDO:1200562	MONDO:0010568
NANDO:2200919	MONDO:0010778
NANDO:1200779	MONDO:0010931
NANDO:1200579	MONDO:0011147
NANDO:1200371	MONDO:0011230
NANDO:1201003	MONDO:0011340
NANDO:2200437	MONDO:0011438
NANDO:1200706	MONDO:0011514
NANDO:1200962	MONDO:0011514
NANDO:2200251	MONDO:0011514
NANDO:2200031	MONDO:0018310
NANDO:1200689	MONDO:0012176
NANDO:2200434	MONDO:0012281
NANDO:1200747	MONDO:0012579
NANDO:1200748	MONDO:0012579
NANDO:1200532	MONDO:0012603
NANDO:1200429	MONDO:0013024
NANDO:2200653	MONDO:0008556
NANDO:2200179	MONDO:0008653
NANDO:1200183	MONDO:0009649
NANDO:2200850	MONDO:0009649
NANDO:1200707	MONDO:0009931
NANDO:2200253	MONDO:0009931
NANDO:1200533	MONDO:0012629
NANDO:2200074	MONDO:0015075
NANDO:1200816	MONDO:0015104
NANDO:1200171	MONDO:0015129
NANDO:1200411	MONDO:0015129
NANDO:2200359	MONDO:0015129
NANDO:2200360	MONDO:0015129
NANDO:1200053	MONDO:0015149
NANDO:1200054	MONDO:0015150
NANDO:1200925	MONDO:0015175
NANDO:2200943	MONDO:0015175
NANDO:2200944	MONDO:0015183
NANDO:2200293	MONDO:0015197
NANDO:1200421	MONDO:0015264
NANDO:1200745	MONDO:0015265
NANDO:2200209	MONDO:0015265
NANDO:2200173	MONDO:0015268
NANDO:2200269	MONDO:0015273
NANDO:1200661	MONDO:0015369
NANDO:2200824	MONDO:0015369
NANDO:1201004	MONDO:0015395
NANDO:1200879	MONDO:0015408
NANDO:1200597	MONDO:0015436
NANDO:2200263	MONDO:0015450
NANDO:1200704	MONDO:0015451
NANDO:1200820	MONDO:0015454
NANDO:2200500	MONDO:0015454
NANDO:1200971	MONDO:0015515
NANDO:2200888	MONDO:0015518
NANDO:2200037	MONDO:0015534
NANDO:2200032	MONDO:0015540
NANDO:1200600	MONDO:0015584
NANDO:2200903	MONDO:0015584
NANDO:1200622	MONDO:0015611
NANDO:2200997	MONDO:0015611
NANDO:1200016	MONDO:0015626
NANDO:2200855	MONDO:0015626
NANDO:2200039	MONDO:0044354
NANDO:2200067	MONDO:0005440
NANDO:1200153	MONDO:0015674
NANDO:2200806	MONDO:0015691
NANDO:2200933	MONDO:0015762
NANDO:1200383	MONDO:0015770
NANDO:1200375	MONDO:0015790
NANDO:2200324	MONDO:0015790
NANDO:2200068	MONDO:0015863
NANDO:2200071	MONDO:0015864
NANDO:2200321	MONDO:0015892
NANDO:1200775	MONDO:0015895
NANDO:2200345	MONDO:0015895
NANDO:1200396	MONDO:0015898
NANDO:1200295	MONDO:0015909
NANDO:1200425	MONDO:0015924
NANDO:1200264	MONDO:0015943
NANDO:2200427	MONDO:0015943
NANDO:1200609	MONDO:0015947
NANDO:2200767	MONDO:0015977
NANDO:2200158	MONDO:0015988
NANDO:1200677	MONDO:0016006
NANDO:2200832	MONDO:0016006
NANDO:1200598	MONDO:0016019
NANDO:2200900	MONDO:0016019
NANDO:1200310	MONDO:0016030
NANDO:2200232	MONDO:0005021
NANDO:1200286	MONDO:0005045
NANDO:1200288	MONDO:0005045
NANDO:2200229	MONDO:0005045
NANDO:2200045	MONDO:0005086
NANDO:2200941	MONDO:0009044
NANDO:1200187	MONDO:0016079
NANDO:2200586	MONDO:0016088
NANDO:1200495	MONDO:0016107
NANDO:2200864	MONDO:0016107
NANDO:1200001	MONDO:0016113
NANDO:1200823	MONDO:0016118
NANDO:1200457	MONDO:0016129
NANDO:1200465	MONDO:0016168
NANDO:2200432	MONDO:0016168
NANDO:1200161	MONDO:0016239
NANDO:2200571	MONDO:0016239
NANDO:1200473	MONDO:0016244
NANDO:2200131	MONDO:0016244
NANDO:2200132	MONDO:0016244
NANDO:2200641	MONDO:0016244
NANDO:1200441	MONDO:0016264
NANDO:2200928	MONDO:0016264
NANDO:1200150	MONDO:0016295
NANDO:2200573	MONDO:0016295
NANDO:2200819	MONDO:0016296
NANDO:2200259	MONDO:0016301
NANDO:1200205	MONDO:0016318
NANDO:1200949	MONDO:0016318
NANDO:1200292	MONDO:0005201
NANDO:1200285	MONDO:0016333
NANDO:2200822	MONDO:0016349
NANDO:1200274	MONDO:0016367
NANDO:1200275	MONDO:0016367
NANDO:2200418	MONDO:0016367
NANDO:2200463	MONDO:0016391
NANDO:2200159	MONDO:0016407
NANDO:2200332	MONDO:0016410
NANDO:2200340	MONDO:0016410
NANDO:2200041	MONDO:0005035
NANDO:1200351	MONDO:0010627
NANDO:2200725	MONDO:0010627
NANDO:1200543	MONDO:0016594
NANDO:1200978	MONDO:0016602
NANDO:2200483	MONDO:0016602
NANDO:1200642	MONDO:0016620
NANDO:2201004	MONDO:0016620
NANDO:2200085	MONDO:0016686
NANDO:2200084	MONDO:0016691
NANDO:2200092	MONDO:0016723
NANDO:2200097	MONDO:0016730
NANDO:2200098	MONDO:0016730
NANDO:2200096	MONDO:0016733
NANDO:2200103	MONDO:0002546
NANDO:1200959	MONDO:0012455
NANDO:1200516	MONDO:0016812
NANDO:1200492	MONDO:0016830
NANDO:2200857	MONDO:0016830
NANDO:1200958	MONDO:0016952
NANDO:1200490	MONDO:0016971
NANDO:2200858	MONDO:0016971
NANDO:1200013	MONDO:0016987
NANDO:1200874	MONDO:0017042
NANDO:1200509	MONDO:0017069
NANDO:2200814	MONDO:0017069
NANDO:2200813	MONDO:0017079
NANDO:2200298	MONDO:0017147
NANDO:2200407	MONDO:0017169
NANDO:1200577	MONDO:0017226
NANDO:1200714	MONDO:0017236
NANDO:1200723	MONDO:0017236
NANDO:1200615	MONDO:0017265
NANDO:2200991	MONDO:0017265
NANDO:1200548	MONDO:0017276
NANDO:1200923	MONDO:0017287
NANDO:1200924	MONDO:0017287
NANDO:2200890	MONDO:0017361
NANDO:1200033	MONDO:0017364
NANDO:2200916	MONDO:0017380
NANDO:1200355	MONDO:0017570
NANDO:2200755	MONDO:0017570
NANDO:1200458	MONDO:0017574
NANDO:1200235	MONDO:0017610
NANDO:1200236	MONDO:0017612
NANDO:2200436	MONDO:0017708
NANDO:1200070	MONDO:0017720
NANDO:2200559	MONDO:0017720
NANDO:1200116	MONDO:0017734
NANDO:2200556	MONDO:0017734
NANDO:1200134	MONDO:0017779
NANDO:1200209	MONDO:0017816
NANDO:2200278	MONDO:0017870
NANDO:1200506	MONDO:0017987
NANDO:1200212	MONDO:0018018
NANDO:1200340	MONDO:0018037
NANDO:2200713	MONDO:0018037
NANDO:2200648	MONDO:0018048
NANDO:2200964	MONDO:0018068
NANDO:2200963	MONDO:0018071
NANDO:1200840	MONDO:0002413
NANDO:2200538	MONDO:0002413
NANDO:2200170	MONDO:0008264
NANDO:1200710	MONDO:0018089
NANDO:2200256	MONDO:0018089
NANDO:2200257	MONDO:0018090
NANDO:2200588	MONDO:0018106
NANDO:1200066	MONDO:0018149
NANDO:2200558	MONDO:0018149
NANDO:1200056	MONDO:0018150
NANDO:2200562	MONDO:0018150
NANDO:2200038	MONDO:0018153
NANDO:2200523	MONDO:0018158
NANDO:2200087	MONDO:0018177
NANDO:2200914	MONDO:0018178
NANDO:2200544	MONDO:0018251
NANDO:1200743	MONDO:0018301
NANDO:2200503	MONDO:0002474
NANDO:1200640	MONDO:0018306
NANDO:2200106	MONDO:0018369
NANDO:2200156	MONDO:0018470
NANDO:1200396	MONDO:0018479
NANDO:1200397	MONDO:0018479
NANDO:2200370	MONDO:0018479
NANDO:1200749	MONDO:0018483
NANDO:2200624	MONDO:0018484
